Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,59,240.4,45.1,93.4,.483,13.9,37.5,.369,31.3,55.9,.559,19.0,24.5,.775,13.3,34.4,47.7,29.0,8.9,5.9,16.4,21.2,123.1
2,Cleveland Cavaliers,59,240.0,45.1,90.5,.498,16.2,41.0,.394,28.9,49.4,.585,16.5,21.1,.784,10.8,34.4,45.2,28.9,8.2,4.4,13.1,18.4,122.9
3,Denver Nuggets,60,241.7,45.8,90.2,.508,12.0,31.5,.381,33.8,58.7,.576,17.7,22.9,.776,11.3,34.8,46.1,31.2,8.2,4.7,14.4,17.6,121.4
4,Oklahoma City Thunder,59,240.4,44.2,92.8,.477,14.2,39.0,.363,30.1,53.8,.559,16.3,19.8,.822,11.0,33.6,44.7,26.7,10.8,5.6,11.9,20.5,118.9
5,New York Knicks,59,241.7,43.9,89.2,.493,12.7,33.9,.373,31.3,55.3,.566,17.1,21.2,.805,10.7,32.1,42.8,27.4,7.9,3.9,13.1,16.9,117.7
6,Boston Celtics,60,242.1,41.6,90.3,.461,17.8,48.2,.370,23.8,42.1,.566,15.8,19.8,.796,10.9,34.0,44.9,25.8,7.3,5.6,12.0,16.3,116.9
7,Sacramento Kings,58,243.0,43.4,91.0,.476,12.5,35.9,.349,30.8,55.1,.559,17.6,21.8,.809,11.1,34.0,45.0,26.9,7.8,4.7,13.6,19.1,116.9
8,Atlanta Hawks,60,241.7,42.5,91.7,.463,13.1,37.4,.350,29.4,54.4,.541,18.5,24.1,.769,11.8,33.1,44.9,29.2,9.9,5.1,16.0,18.8,116.6
9,Chicago Bulls,60,241.3,42.6,92.1,.463,16.0,43.3,.369,26.6,48.8,.546,15.4,19.1,.806,9.9,35.4,45.2,28.9,7.6,4.7,15.0,17.7,116.5
10,Indiana Pacers,58,241.3,43.4,88.5,.490,12.9,34.7,.371,30.5,53.8,.568,16.8,21.4,.785,9.0,32.2,41.2,29.0,8.6,5.2,13.5,19.0,116.4
11,Dallas Mavericks,60,240.8,42.0,88.5,.475,13.2,35.4,.372,28.8,53.0,.544,17.8,23.0,.773,10.9,33.4,44.3,25.2,8.0,6.0,14.1,18.5,114.9
12,Detroit Pistons,60,241.7,42.5,89.9,.473,13.0,36.0,.362,29.5,54.0,.546,16.3,21.0,.778,11.5,33.8,45.3,26.4,8.1,5.0,15.4,20.2,114.4
13,Milwaukee Bucks,58,240.4,41.6,87.0,.479,14.3,37.3,.384,27.3,49.7,.549,16.4,22.1,.743,8.4,35.4,43.9,25.1,7.3,4.9,13.7,18.4,114.1
14,Phoenix Suns,60,242.1,41.1,86.1,.477,14.3,37.7,.379,26.8,48.4,.554,17.6,21.9,.805,9.1,33.4,42.5,27.7,7.4,5.1,14.0,18.2,114.0
15,Golden State Warriors,59,240.4,41.0,91.7,.447,15.3,42.5,.361,25.7,49.2,.522,15.6,21.0,.742,12.8,33.1,45.9,29.0,9.0,5.0,13.8,19.5,112.9
16,Los Angeles Lakers,58,240.4,41.1,85.4,.481,12.3,34.8,.353,28.8,50.6,.569,18.4,23.4,.788,9.4,33.1,42.5,26.4,7.8,4.8,13.8,16.7,112.8
17,Houston Rockets,59,241.3,41.7,93.3,.447,12.1,35.5,.342,29.5,57.8,.511,17.3,23.2,.748,14.6,33.6,48.2,22.7,8.6,5.1,13.9,19.6,112.8
18,San Antonio Spurs,57,240.9,41.1,89.7,.458,13.6,39.6,.345,27.4,50.1,.547,16.6,21.3,.782,11.0,33.7,44.7,28.9,8.2,6.4,14.1,16.5,112.4
19,Utah Jazz,59,241.7,40.3,87.8,.459,14.0,39.3,.356,26.3,48.5,.542,17.6,22.7,.778,12.2,33.5,45.7,25.9,6.6,4.7,17.3,19.0,112.3
20,Minnesota Timberwolves,61,241.2,40.0,87.2,.458,14.8,39.5,.374,25.2,47.7,.529,17.3,21.8,.795,11.1,33.0,44.2,25.4,8.0,4.9,14.8,18.2,112.0
21,Los Angeles Clippers,59,241.3,40.7,86.7,.470,12.2,34.1,.358,28.5,52.6,.543,17.1,21.5,.794,10.7,33.3,44.1,24.8,9.8,4.5,15.8,18.6,110.7
22,New Orleans Pelicans,60,241.3,40.7,90.6,.449,12.2,35.2,.348,28.4,55.4,.513,17.1,22.4,.763,12.2,31.4,43.6,25.3,9.1,5.5,14.3,18.1,110.7
23,Toronto Raptors,60,242.1,41.6,89.5,.465,11.5,33.0,.349,30.1,56.6,.533,15.7,21.0,.747,11.7,32.2,43.9,28.6,7.8,4.4,15.6,21.3,110.4
24,Miami Heat,58,243.4,39.7,86.8,.457,14.0,38.6,.362,25.7,48.2,.533,17.0,21.3,.795,9.8,34.1,43.9,26.3,7.9,3.8,13.8,15.7,110.3
25,Portland Trail Blazers,60,240.4,40.3,88.9,.454,12.5,36.1,.347,27.8,52.8,.527,17.1,22.2,.768,12.5,31.2,43.7,23.9,8.1,5.5,16.1,19.6,110.2
26,Philadelphia 76ers,58,241.7,39.1,86.3,.453,12.5,36.5,.343,26.6,49.9,.534,18.1,22.9,.793,10.0,29.2,39.2,22.9,9.4,4.1,13.5,19.6,108.9
27,Washington Wizards,58,240.9,39.6,89.8,.440,12.9,38.6,.334,26.7,51.2,.521,16.3,21.0,.777,10.5,33.2,43.8,25.1,7.5,5.1,16.2,20.6,108.3
28,Charlotte Hornets,58,241.3,38.1,89.8,.424,13.3,39.3,.339,24.8,50.6,.491,15.7,20.1,.780,12.8,32.8,45.6,23.7,8.1,4.6,15.5,19.2,105.2
29,Brooklyn Nets,59,241.3,37.5,85.4,.439,13.3,38.3,.346,24.3,47.1,.515,16.7,21.0,.795,11.0,30.2,41.2,24.8,7.9,4.4,15.6,20.6,105.0
30,Orlando Magic,61,240.8,37.8,86.0,.439,10.8,35.6,.305,27.0,50.5,.534,17.6,23.1,.763,11.4,30.6,42.0,23.0,9.0,6.2,14.6,20.4,104.1
,League Average,59,241.3,41.5,89.2,.465,13.4,37.5,.358,28.1,51.7,.543,17.0,21.8,.781,11.1,33.1,44.2,26.5,8.3,5.0,14.5,18.8,113.5